
Time: 19-06-2024 12:34:23, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 12:34:27, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 12:34:31, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 12:34:35, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 12:34:44, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 12:35:14, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 12:35:38, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 12:35:50, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 15:50:41, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.StudentServices.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 16:01:32, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
Time: 19-06-2024 16:01:52, Controller: MasterApi, Action: CallExternamLoginMethod, Exception: Unable to resolve service for type 'StudentManagement_API.Services.IStudentServices' while attempting to activate 'StudentManagement_API.Controllers.MasterApiController'.
