
Time: 05-06-2024 11:41:46, Controller: Home, Action: Index, Exception: Attempted to divide by zero.
Time: 05-06-2024 14:46:07, Controller: Home, Action: Index, Exception: Attempted to divide by zero.
Time: 10-06-2024 16:59:33, Controller: Home, Action: AdminIndex, Exception: One or more errors occurred. (A task was canceled.)
Time: 12-06-2024 11:22:04, Controller: Home, Action: UpsertStudent, Exception: One or more errors occurred. (A task was canceled.)
Time: 19-06-2024 11:28:29, Controller: Home, Action: AdminIndex, Exception: Attempted to divide by zero.
Time: 25-06-2024 15:56:22, Controller: Home, Action: SendEmail, Exception: Error converting value {null} to type 'System.Int32'. Path 'result.studentId', line 1, position 112.
Time: 17-07-2024 12:09:31, Controller: Home, Action: AdminIndex, Exception: One or more errors occurred. (A task was canceled.)
Time: 17-07-2024 14:36:56, Controller: Home, Action: AdminIndex, Exception: One or more errors occurred. (A task was canceled.)
Time: 18-07-2024 12:25:13, Controller: Home, Action: CreateUpdateStudent, Exception: Object reference not set to an instance of an object.
Time: 18-07-2024 12:26:05, Controller: Home, Action: CreateUpdateStudent, Exception: Object reference not set to an instance of an object.
Time: 18-07-2024 14:07:08, Controller: Home, Action: AddEditBook, Exception: Object reference not set to an instance of an object.
